月日,曜日,ホーム,ホーム得点,備考,ビジター得点,ビジター,球場,開始時間,開始時間（分）,勝ち投手,負け投手
7/21,火,中日,0,-,4,巨人,ナゴヤドーム,18,0,菅野,山本
7/21,火,阪神,9,-,4,広島,甲子園,18,0,秋山,九里
7/21,火,楽天,3,-,10,オリックス,楽天生命パーク,18,0,アルバース,宋家豪
7/21,火,西武,8,-,3,ロッテ,メットライフ,18,0,今井,美馬
7/21,火,ソフトバンク,1,-,2,日本ハム,PayPayドーム,18,0,杉浦,千賀
7/22,水,DeNA,5,-,5,ヤクルト,横　浜,18,0,三嶋,石山
7/22,水,中日,5,-,0,巨人,ナゴヤドーム,18,0,松葉,戸郷
7/22,水,阪神,3,-,3,広島,甲子園,18,0,馬場,ジョンソン
7/22,水,楽天,7,-,11,オリックス,楽天生命パーク,18,0,吉田一,森原
7/22,水,西武,1,-,2,ロッテ,メットライフ,18,0,小島,髙橋光
7/22,水,ソフトバンク,3,-,2,日本ハム,PayPayドーム,18,0,椎野,マルティネス
7/23,木,DeNA,6,-,0,ヤクルト,横　浜,18,0,大貫,高橋
7/23,木,中日,1,-,6,巨人,ナゴヤドーム,14,0,メルセデス,福
7/23,木,阪神,2,-,4,広島,甲子園,18,0,森下,藤浪
7/23,木,楽天,2,-,2,オリックス,楽天生命パーク,18,0,牧田,ディクソン
7/23,木,西武,3,-,2,ロッテ,メットライフ,18,0,與座,岩下
7/23,木,ソフトバンク,2,-,3,日本ハム,PayPayドーム,18,0,バーヘイゲン,笠谷
7/24,金,ヤクルト,5,-,5,巨人,神　宮,18,0,中澤,中川
7/24,金,DeNA,9,-,6,広島,横　浜,18,0,国吉,一岡
7/24,金,中日,2,-,5,阪神,ナゴヤドーム,18,0,青柳,谷元
7/24,金,楽天,2,-,6,オリックス,楽天生命パーク,18,0,榊原,則本昂
7/24,金,西武,3,-,2,ロッテ,メットライフ,18,0,増田,益田
7/24,金,ソフトバンク,4,-,1,日本ハム,PayPayドーム,18,0,東浜,有原
7/25,土,ヤクルト,6,-,5,巨人,神　宮,18,0,石山,中川
7/25,土,DeNA,6,-,2,広島,横　浜,18,0,今永,床田
7/25,土,中日,1,-,0,阪神,ナゴヤドーム,14,0,福,西勇
7/25,土,楽天,3,-,6,オリックス,楽天生命パーク,18,0,山田,森原
7/25,土,西武,0,-,5,ロッテ,メットライフ,18,0,種市,本田
7/25,土,ソフトバンク,7,-,9,日本ハム,PayPayドーム,14,0,金子,椎野
7/26,日,ヤクルト,4,-,9,巨人,神　宮,18,0,桜井,高梨
7/26,日,DeNA,6,-,10,広島,横　浜,18,0,菊池保,山﨑
7/26,日,中日,3,-,9,阪神,ナゴヤドーム,14,0,藤川,福
7/26,日,楽天,5,-,4,オリックス,楽天生命パーク,17,0,牧田,ヒギンス
7/26,日,西武,4,-,2,ロッテ,メットライフ,18,0,平井,小野
7/26,日,ソフトバンク,6,-,1,日本ハム,PayPayドーム,13,0,二保,河野
7/28,火,巨人,4,-,2,DeNA,東京ドーム,18,0,菅野,井納
7/28,火,ヤクルト,5,-,20,阪神,神　宮,18,0,秋山,イノーア
7/28,火,広島,2,-,3,中日,マツダスタジアム,18,0,岡田,塹江
7/28,火,日本ハム,5,-,1,オリックス,札幌ドーム,18,0,上沢,アルバース
7/28,火,ロッテ,13,-,12,楽天,ZOZOマリン,18,0,益田,J.T.シャギワ
7/28,火,ソフトバンク,9,-,4,西武,PayPayドーム,18,0,千賀,平井
7/29,水,巨人,2,-,3,DeNA,東京ドーム,18,0,濵口,戸郷
7/29,水,ヤクルト,3,-,1,阪神,神　宮,18,0,原,ガルシア
7/29,水,広島,2,-,0,中日,マツダスタジアム,18,0,野村,松葉
7/29,水,日本ハム,6,-,2,オリックス,札幌ドーム,18,0,玉井,山田
7/29,水,ロッテ,1,-,5,楽天,ZOZOマリン,18,0,涌井,小島
7/29,水,ソフトバンク,4,-,2,西武,PayPayドーム,18,0,和田,松本
7/30,木,巨人,2,-,4,DeNA,東京ドーム,18,0,大貫,メルセデス
7/30,木,ヤクルト,6,-,0,阪神,神　宮,18,0,高橋,藤浪
7/30,木,広島,4,-,4,中日,マツダスタジアム,18,0,塹江,岡田
7/30,木,日本ハム,7,-,3,オリックス,札幌ドーム,18,0,杉浦,山﨑福
7/30,木,ロッテ,3,-,4,楽天,ZOZOマリン,18,0,久保,岩下
7/30,木,ソフトバンク,0,-,6,西武,PayPayドーム,18,0,與座,板東
7/31,金,巨人,2,-,1,広島,東京ドーム,18,0,大江,森下
7/31,金,中日,5,-,3,ヤクルト,ナゴヤドーム,18,0,大野雄,中澤
7/31,金,阪神,3,-,3,DeNA,甲子園,18,0,藤川,三嶋
7/31,金,日本ハム,2,-,7,オリックス,札幌ドーム,18,0,齋藤,有原
7/31,金,ロッテ,5,-,4,楽天,ZOZOマリン,18,0,石川,則本昂
7/31,金,ソフトバンク,5,-,4,西武,PayPayドーム,18,0,嘉弥真,ニール
8/1,土,巨人,11,-,3,広島,東京ドーム,14,0,田口,床田
8/1,土,中日,3,-,1,ヤクルト,ナゴヤドーム,14,0,勝野,小川
8/1,土,阪神,3,-,7,DeNA,甲子園,18,0,今永,西勇
8/1,土,日本ハム,3,-,1,オリックス,札幌ドーム,14,0,バーヘイゲン,田嶋
8/1,土,ロッテ,0,-,8,楽天,ZOZOマリン,17,0,塩見,種市
8/1,土,ソフトバンク,4,-,0,西武,PayPayドーム,14,0,石川,本田
8/2,日,巨人,2,-,9,広島,東京ドーム,14,0,遠藤,桜井
8/2,日,中日,0,-,0,ヤクルト,ナゴヤドーム,14,0,梅津,石山
8/2,日,阪神,3,-,1,DeNA,甲子園,18,0,馬場,平良
8/2,日,ロッテ,7,-,6,楽天,ZOZOマリン,17,0,チェン・グァンユウ,酒居
8/2,日,ソフトバンク,,中止,,西武,PayPayドーム,13,0,,
8/4,火,ヤクルト,3,-,6,広島,神　宮,18,0,塹江,清水
8/4,火,DeNA,3,-,0,中日,横　浜,18,0,井納,福谷
8/4,火,阪神,2,-,7,巨人,甲子園,18,0,菅野,ガルシア
8/4,火,日本ハム,11,-,4,西武,札幌ドーム,18,0,上沢,髙橋光
8/4,火,楽天,7,-,6,ソフトバンク,楽天生命パーク,18,0,津留﨑,モイネロ
8/4,火,オリックス,5,-,5,ロッテ,京セラD大阪,18,0,ディクソン,唐川
8/5,水,ヤクルト,1,-,4,広島,神　宮,18,0,野村,大西
8/5,水,DeNA,8,-,2,中日,横　浜,18,0,濵口,柳
8/5,水,阪神,1,-,4,巨人,甲子園,18,0,戸郷,藤浪
8/5,水,日本ハム,2,-,7,西武,札幌ドーム,18,0,平井,マルティネス
8/5,水,楽天,6,-,0,ソフトバンク,楽天生命パーク,18,0,涌井,和田
8/5,水,オリックス,1,-,12,ロッテ,京セラD大阪,18,0,小島,鈴木
8/6,木,ヤクルト,9,-,5,広島,神　宮,18,0,マクガフ,薮田
8/6,木,DeNA,3,-,0,中日,横　浜,18,0,大貫,松葉
8/6,木,阪神,11,-,0,巨人,甲子園,18,0,髙橋,メルセデス
8/6,木,日本ハム,5,-,3,西武,札幌ドーム,18,0,河野,與座
8/6,木,楽天,1,-,3,ソフトバンク,楽天生命パーク,18,0,板東,松井
8/6,木,オリックス,3,-,1,ロッテ,京セラD大阪,18,0,山﨑福,岩下
8/7,金,ヤクルト,8,-,2,DeNA,神　宮,18,0,吉田大喜,上茶谷
8/7,金,中日,7,-,1,巨人,ナゴヤドーム,18,0,大野雄,田口
8/7,金,広島,11,-,6,阪神,マツダスタジアム,18,0,森下,青柳
8/7,金,日本ハム,3,-,2,西武,札幌ドーム,18,0,杉浦,ニール
8/7,金,楽天,7,-,4,ソフトバンク,楽天生命パーク,18,0,宋家豪,東浜
8/7,金,オリックス,3,-,6,ロッテ,京セラD大阪,18,0,石川,榊原
8/8,土,ヤクルト,4,-,5,DeNA,神　宮,18,0,今永,小川
8/8,土,中日,3,-,1,巨人,ナゴヤドーム,14,0,福,畠
8/8,土,広島,2,-,1,阪神,マツダスタジアム,18,0,大瀬良,藤川
8/8,土,日本ハム,7,-,6,西武,札幌ドーム,14,0,井口,宮川
8/8,土,楽天,4,-,2,ソフトバンク,楽天生命パーク,18,0,塩見,二保
8/8,土,オリックス,3,-,9,ロッテ,京セラD大阪,14,0,二木,K-鈴木
8/9,日,ヤクルト,0,-,4,DeNA,神　宮,18,0,平良,山中
8/9,日,中日,2,-,2,巨人,ナゴヤドーム,14,0,谷元,田中豊
8/9,日,広島,1,-,5,阪神,マツダスタジアム,18,0,秋山,遠藤
8/9,日,日本ハム,2,-,1,西武,札幌ドーム,13,0,バーヘイゲン,本田
8/9,日,楽天,0,-,5,ソフトバンク,楽天生命パーク,17,0,板東,福井
8/9,日,オリックス,0,-,4,ロッテ,京セラD大阪,13,0,中村稔,アルバース
8/10,月,DeNA,6,-,4,阪神,横　浜,18,0,国吉,岩貞
8/10,月,広島,6,-,1,中日,マツダスタジアム,18,0,九里,小笠原
8/11,火,DeNA,2,-,9,阪神,横　浜,18,0,ガルシア,井納
8/11,火,広島,1,-,8,中日,マツダスタジアム,18,0,福谷,野村
8/11,火,西武,5,-,7,楽天,メットライフ,18,0,弓削,髙橋光
8/11,火,ロッテ,3,-,1,日本ハム,ZOZOマリン,18,0,美馬,上沢
8/11,火,ソフトバンク,8,-,7,オリックス,PayPayドーム,18,0,千賀,吉田凌
8/12,水,巨人,8,-,1,ヤクルト,東京ドーム,18,0,菅野,原
8/12,水,DeNA,6,-,7,阪神,横　浜,18,0,青柳,濵口
8/12,水,広島,1,-,4,中日,マツダスタジアム,18,0,柳,ジョンソン
8/12,水,西武,2,-,6,楽天,メットライフ,18,0,涌井,伊藤
8/12,水,ロッテ,4,-,12,日本ハム,ZOZOマリン,18,0,玉井,小島
8/12,水,ソフトバンク,6,-,0,オリックス,PayPayドーム,18,0,和田,田嶋
8/13,木,巨人,4,-,3,ヤクルト,東京ドーム,18,0,中川,大下
8/13,木,西武,4,-,7,楽天,メットライフ,18,0,酒居,與座
8/13,木,ロッテ,8,-,6,日本ハム,ZOZOマリン,18,0,フローレス,金子
8/13,木,ソフトバンク,3,-,1,オリックス,PayPayドーム,18,0,大竹,張
8/14,金,巨人,6,-,1,中日,東京ドーム,18,0,戸郷,松葉
8/14,金,DeNA,6,-,2,ヤクルト,横　浜,18,0,大貫,吉田大喜
8/14,金,阪神,0,-,6,広島,京セラD大阪,18,0,森下,藤浪
8/14,金,西武,13,-,8,楽天,メットライフ,18,0,今井,津留﨑
